frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
66,1638,160.02,127.08,0.750,9.46,0.772,438,1.57,55,1,183.45,118.15,0.263
67,1636,160.07,127.12,0.749,9.47,0.745,444,1.21,54,1,183.49,118.62,0.266
68,1638,160.10,127.22,0.749,9.46,0.760,443,2.18,53,1,183.60,118.76,0.268
69,1633,160.07,127.37,0.754,9.12,0.745,444,2.83,52,1,183.14,119.09,0.275
70,1628,160.08,127.51,0.754,9.34,0.771,433,3.32,51,1,183.37,118.85,0.278
71,1622,160.09,127.65,0.751,9.74,0.764,447,3.74,50,1,184.29,119.26,0.269
72,1608,159.99,127.86,0.750,9.95,0.770,444,5.19,49,1,183.60,119.55,0.270
73,1599,159.92,128.04,0.749,9.88,0.751,411,4.33,48,1,183.53,119.85,0.269
74,1589,160.02,128.24,0.747,10.07,0.734,437,4.54,47,1,183.78,120.33,0.267
75,1592,160.03,128.55,0.749,9.92,0.734,452,5.68,46,1,183.56,120.79,0.271
76,1571,160.17,128.75,0.756,10.63,0.765,441,5.11,45,1,183.21,121.08,0.267
77,1558,160.13,128.90,0.751,10.91,0.715,410,3.95,44,1,183.16,121.49,0.268
78,1550,160.16,129.00,0.746,11.03,0.703,414,3.66,43,1,183.03,121.56,0.268
79,1552,159.63,129.12,0.732,10.82,0.714,409,14.70,42,1,182.25,121.52,0.276
80,1545,159.42,129.29,0.732,10.81,0.722,409,5.10,41,1,182.14,121.82,0.276
81,1525,159.09,129.54,0.726,11.34,0.724,392,5.94,40,1,181.46,122.23,0.272
82,1521,159.11,129.66,0.736,11.05,0.714,379,5.24,39,1,180.76,122.27,0.270
83,1517,159.12,129.72,0.734,11.27,0.719,397,5.51,38,1,180.08,122.25,0.264
84,1511,159.14,129.84,0.744,11.12,0.716,384,6.76,37,1,179.45,122.34,0.256
85,1508,158.46,129.90,0.724,12.00,0.752,390,12.02,36,1,178.80,122.53,0.262
86,1504,158.22,129.97,0.723,11.70,0.736,372,5.43,35,1,177.20,122.22,0.261
87,1501,157.90,129.99,0.721,12.19,0.734,383,5.50,34,1,176.12,122.37,0.255
88,1501,157.57,130.05,0.723,12.06,0.694,377,6.32,33,1,175.25,122.57,0.257
89,1481,157.47,130.09,0.714,13.23,0.751,372,6.11,32,1,172.67,121.96,0.241
90,1470,157.59,130.12,0.720,13.33,0.732,380,6.36,31,1,170.58,121.79,0.234
91,1470,157.26,130.20,0.721,13.06,0.681,388,5.17,30,1,169.87,122.18,0.234
92,1477,157.16,130.25,0.724,12.53,0.742,372,4.96,29,1,169.69,122.67,0.231
93,1468,157.17,130.32,0.732,12.87,0.749,390,5.22,28,1,168.17,122.46,0.227
94,1460,156.63,130.49,0.719,13.84,0.771,399,13.03,27,1,165.70,122.44,0.228
95,1464,156.25,130.50,0.722,13.87,0.764,402,4.02,26,1,166.31,122.90,0.230
96,1464,156.19,130.56,0.725,13.80,0.767,399,3.75,25,1,166.98,123.70,0.222
97,1472,155.85,130.60,0.729,13.79,0.782,390,4.01,24,1,163.24,123.18,0.223
98,1470,155.94,130.56,0.729,13.81,0.756,410,2.55,23,1,163.02,123.24,0.217
99,1474,155.82,130.56,0.732,13.77,0.757,409,2.68,22,1,163.10,123.34,0.216
100,1491,155.88,130.63,0.742,12.61,0.772,393,3.38,21,1,161.90,123.27,0.206
101,1492,155.87,130.62,0.743,12.67,0.756,397,1.27,20,1,161.87,123.09,0.209
102,1492,155.77,130.60,0.743,12.80,0.723,398,1.33,19,1,160.96,123.06,0.210
103,1490,155.70,130.65,0.743,12.68,0.752,403,1.60,18,1,160.80,123.09,0.212
104,1496,155.63,130.70,0.748,12.63,0.750,394,2.38,17,1,160.88,123.21,0.211
105,1491,155.59,130.73,0.746,12.88,0.768,405,1.26,16,1,163.52,124.17,0.212
106,1495,155.62,130.79,0.748,12.64,0.744,383,2.38,15,1,161.34,123.63,0.213
107,1488,155.65,130.96,0.750,12.57,0.765,383,1.93,14,1,161.87,123.96,0.217
108,1473,155.42,131.03,0.745,13.24,0.748,389,2.60,13,1,161.95,124.27,0.215
109,1468,155.42,131.10,0.743,13.42,0.746,385,2.09,12,1,162.61,124.64,0.214
110,1470,155.54,131.12,0.746,13.06,0.736,388,2.02,11,1,161.39,124.52,0.211
111,1471,155.57,131.16,0.744,13.05,0.756,386,1.69,10,1,161.09,124.52,0.211
112,1471,155.58,131.30,0.748,13.26,0.746,377,2.28,9,1,162.80,124.82,0.213
113,1458,155.59,131.47,0.748,13.72,0.752,380,2.36,8,1,164.40,125.46,0.212
114,1456,155.68,131.51,0.749,13.80,0.752,388,1.77,7,1,164.73,125.72,0.208
115,1455,155.72,131.52,0.750,13.68,0.747,389,1.84,6,1,162.58,125.44,0.207
116,1449,155.92,131.57,0.750,13.46,0.728,374,2.18,5,1,160.69,125.26,0.204
117,1495,157.08,130.24,0.723,12.37,0.701,371,26.00,4,1,171.09,122.30,0.232
118,1554,158.95,129.34,0.739,10.81,0.704,409,27.06,3,1,178.78,121.30,0.254
119,1591,160.23,128.50,0.755,9.99,0.768,419,20.59,2,1,182.79,120.65,0.264
120,1645,161.43,127.49,0.753,9.67,0.775,467,19.42,1,1,185.96,118.70,0.270
121,2003,173.01,131.73,0.593,5.54,0.798,504,55.75,7,1,208.06,118.09,0.298
