frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
0,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,66,1,251.03,110.06,0.064
1,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,65,1,251.03,110.06,0.064
2,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,64,1,251.03,110.06,0.064
3,4786,183.07,134.18,0.566,5.29,0.788,820,0.00,63,1,251.03,110.06,0.064
4,4794,183.10,134.16,0.567,5.28,0.795,810,1.94,62,1,250.95,110.04,0.068
5,4789,183.11,134.15,0.567,5.35,0.788,810,0.98,59,1,250.73,110.03,0.065
6,4787,183.12,134.13,0.566,5.43,0.793,828,0.29,58,1,250.73,110.03,0.065
7,4786,183.12,134.11,0.567,5.39,0.793,827,0.81,59,1,250.73,110.03,0.066
8,4784,183.26,134.09,0.568,5.33,0.794,796,0.79,58,1,250.62,110.02,0.067
9,4801,183.08,134.06,0.565,5.21,0.807,772,1.06,57,1,250.75,110.05,0.067
10,4808,183.15,134.05,0.567,5.01,0.789,807,2.08,54,1,250.70,109.99,0.071
11,4821,183.10,133.99,0.568,4.94,0.778,825,1.75,53,1,250.43,109.94,0.076
12,4828,183.06,133.95,0.569,4.85,0.784,819,0.72,52,1,250.83,109.91,0.079
13,4825,183.21,133.91,0.569,4.99,0.785,854,0.97,51,1,250.55,109.96,0.076
14,4820,183.23,133.91,0.569,5.06,0.772,825,1.38,52,1,250.79,109.81,0.077
15,4597,184.22,133.28,0.551,5.66,0.762,828,14.70,52,1,250.72,109.51,0.040
16,4604,184.35,133.23,0.552,5.32,0.757,737,2.47,51,1,250.76,109.44,0.046
17,4628,184.01,133.15,0.550,5.25,0.763,723,2.06,50,1,250.76,109.45,0.043
18,4636,184.29,133.10,0.556,4.92,0.773,766,2.52,49,1,250.52,109.39,0.043
19,4650,184.44,132.99,0.555,4.92,0.755,790,2.59,49,1,250.61,109.39,0.042
20,4663,184.14,132.95,0.555,4.95,0.751,755,2.57,49,1,250.64,109.40,0.042
21,4648,184.27,132.86,0.556,4.99,0.748,780,2.48,49,1,250.59,109.37,0.042
22,4661,184.21,132.63,0.554,5.11,0.752,779,2.90,48,1,250.22,109.31,0.033
23,4647,184.17,132.51,0.554,5.55,0.769,819,3.30,47,1,250.59,109.22,0.031
24,4604,184.26,132.34,0.557,5.43,0.760,768,3.34,43,1,250.59,109.22,0.037
25,4613,184.15,132.16,0.554,5.53,0.740,748,3.77,42,1,250.63,109.23,0.037
26,4613,183.94,132.03,0.550,5.48,0.773,749,3.07,42,1,250.60,109.03,0.037
27,4600,184.21,131.96,0.551,5.80,0.779,756,3.10,41,1,250.62,109.01,0.032
28,4620,184.14,131.84,0.554,5.37,0.758,776,3.62,42,1,250.34,109.05,0.039
29,4625,184.36,131.66,0.555,5.30,0.754,770,4.34,41,1,250.82,108.91,0.038
30,4631,184.23,131.57,0.556,5.16,0.755,760,3.52,42,1,250.93,108.85,0.040
31,4640,184.39,131.47,0.561,5.04,0.758,764,3.66,41,1,250.86,108.91,0.043
32,4666,184.50,131.26,0.561,4.91,0.752,756,3.75,42,1,250.67,108.73,0.046
33,4653,184.63,131.14,0.559,5.31,0.717,751,3.93,41,1,250.91,108.77,0.040
34,4647,184.53,130.96,0.564,5.38,0.751,745,3.84,41,1,251.09,108.77,0.039
35,4637,184.70,130.73,0.560,5.33,0.771,830,4.14,41,1,251.33,108.69,0.038
36,4637,184.49,130.51,0.557,5.33,0.751,757,4.35,41,1,251.64,108.70,0.043
37,4638,184.83,130.35,0.561,5.39,0.743,771,4.24,41,1,250.19,108.75,0.033
38,4660,185.01,130.16,0.564,5.09,0.751,760,4.05,41,1,250.81,108.69,0.035
39,4678,184.98,129.91,0.564,5.17,0.736,756,5.01,54,1,251.12,108.73,0.038
40,4677,185.19,129.83,0.567,5.15,0.738,736,4.04,53,1,251.55,108.80,0.047
41,4676,185.41,129.66,0.569,5.37,0.560,789,4.13,52,1,251.44,108.82,0.042
42,4694,185.19,129.57,0.568,5.09,0.710,705,4.10,51,1,252.41,108.83,0.054
43,4674,185.62,129.51,0.568,5.11,0.719,816,3.48,50,1,252.61,108.73,0.058
44,4669,185.97,129.34,0.571,5.12,0.724,767,4.58,48,1,251.93,108.70,0.043
45,4685,185.95,129.22,0.574,4.91,0.740,740,3.94,47,1,252.53,108.80,0.042
46,4669,186.13,129.07,0.573,5.23,0.737,800,3.32,46,1,252.47,108.69,0.032
47,4672,186.42,128.95,0.576,5.31,0.725,793,3.93,44,1,252.50,108.71,0.025
48,4666,186.47,128.92,0.573,5.29,0.681,721,4.07,43,1,252.05,108.44,0.029
49,4657,186.41,128.90,0.576,5.56,0.733,751,3.23,42,1,252.87,108.32,0.027
50,4666,186.62,128.83,0.573,5.42,0.725,798,3.93,40,1,253.23,108.20,0.031
51,4684,186.60,128.68,0.573,5.06,0.723,769,4.07,39,1,252.89,107.83,0.037
52,4707,186.82,128.60,0.571,5.01,0.707,781,4.35,38,1,252.82,107.68,0.047
53,4711,187.26,128.57,0.573,4.82,0.705,797,4.32,37,1,252.79,107.53,0.055
54,4730,187.11,128.55,0.576,4.40,0.512,781,4.09,36,1,252.63,107.53,0.061
55,4732,187.07,128.43,0.574,4.61,0.513,766,4.99,35,1,252.51,107.39,0.059
56,4722,187.29,128.35,0.576,4.72,0.518,781,4.43,33,1,251.93,107.31,0.055
57,4719,187.38,128.23,0.580,4.73,0.506,752,4.62,32,1,251.95,107.27,0.053
58,4693,187.11,128.27,0.575,5.14,0.680,745,5.22,31,1,252.56,107.05,0.052
59,4700,187.23,128.13,0.578,4.87,0.483,732,4.76,29,1,251.09,107.03,0.051
60,4686,187.31,128.05,0.582,4.93,0.637,689,5.15,28,1,250.88,107.03,0.050
61,4680,187.43,127.83,0.587,4.87,0.646,757,6.17,27,1,250.76,106.91,0.044
62,4696,187.51,127.54,0.582,4.83,0.481,801,5.76,26,1,250.12,107.00,0.025
63,4660,187.45,127.46,0.582,5.34,0.449,802,5.89,24,1,250.82,107.02,0.022
64,4672,187.33,127.19,0.585,5.24,0.462,772,5.22,23,1,249.25,106.85,0.016
65,4670,187.47,127.04,0.584,5.14,0.446,788,5.46,22,1,248.86,106.94,0.009
66,4659,187.47,126.92,0.586,5.17,0.453,864,5.56,21,1,248.61,107.15,0.008
67,4693,187.50,126.56,0.589,4.86,0.467,812,5.85,21,1,248.10,107.45,0.001
68,4680,187.44,126.46,0.588,5.02,0.461,842,4.81,20,1,248.21,107.47,0.003
69,4660,187.12,126.36,0.592,4.87,0.468,823,4.68,20,1,247.24,107.49,0.001
70,4665,186.67,126.12,0.582,4.91,0.462,779,5.08,19,1,247.93,107.67,0.000
71,4636,186.65,126.18,0.580,4.96,0.675,822,5.34,18,1,243.18,108.56,0.002
72,4636,186.02,125.82,0.576,5.18,0.684,836,8.59,18,1,247.04,108.01,0.011
73,4594,185.84,125.88,0.572,5.33,0.687,779,6.26,17,1,240.13,108.85,0.005
74,4626,185.29,125.52,0.567,4.97,0.695,793,8.48,17,1,247.01,108.19,0.015
75,4637,184.96,125.41,0.569,4.72,0.684,782,6.50,17,1,244.66,108.68,0.006
76,4638,184.60,125.20,0.564,4.76,0.687,759,6.77,17,1,236.20,110.46,0.006
77,4592,184.33,124.90,0.556,5.60,0.724,823,7.59,16,1,247.37,108.59,0.022
78,4610,183.79,124.75,0.552,5.12,0.722,783,8.93,16,1,247.86,108.74,0.026
