subject,frames,any_pct,visible_pct,max_delta,worst_frame,worst_frame_visible_pct
creature-wave-walk,96,1.3928787796585649,1.2842814127604167,140,1,2.8960503472222223
zixxtrixx-attack,588,3.1832523591033635,2.8445335382416856,132,219,3.359375
zixxtrixx-front,576,6.871855935932677,6.15823816370081,132,26,8.79123263888889
zixxtrixx-idle,576,8.086741883077739,7.267444751880787,140,574,9.45095486111111
zixxtrixx-knockdown,196,3.687309559240363,3.3231580392573696,132,156,3.9268663194444446
zixxtrixx-side,192,9.679633246527779,8.69712547019676,124,26,9.569227430555555
zixxtrixx-still-front,1,5.407986111111111,4.696180555555555,82,0,4.696180555555555
zixxtrixx-walk,160,5.790581597222222,5.342807345920139,140,81,5.762803819444445
