subject,frames,any_pct,visible_pct,max_delta,worst_frame,worst_frame_visible_pct
creature-wave-walk,96,1.340931080005787,1.2110957392939814,116,0,2.7137586805555554
zixxtrixx-attack,588,2.9536383780942934,2.5226941905234317,124,157,3.015407986111111
zixxtrixx-front,576,6.105604760440779,5.1388417938609185,140,27,6.895616319444445
zixxtrixx-idle,576,7.28848115897473,6.177373815465857,149,570,8.397352430555555
zixxtrixx-knockdown,196,3.3899839232568025,2.8436348497732427,124,162,3.57421875
zixxtrixx-side,192,8.57202035409433,7.135309290002893,140,20,7.51953125
zixxtrixx-still-front,1,4.868706597222222,3.816189236111111,82,0,3.816189236111111
zixxtrixx-walk,160,5.346788194444445,4.696682400173611,124,69,5.023871527777778
