frame,key,sub,A_y,B_y,C_y,AB_y,AC_y,BC_y,FA_mm,AB_mm,BC_mm,CE_mm
183,91,1,1164.924,1611.352,1545.521,-446.428,-380.597,65.831,-168,164,-12,65
184,92,0,1164.924,1611.352,1545.521,-446.428,-380.597,65.831,-168,164,-12,65
185,92,1,1164.956,1610.672,1544.509,-445.716,-379.553,66.163,-168,163,-12,63
186,93,0,1164.949,1609.965,1543.421,-445.016,-378.472,66.544,-168,162,-12,63
187,93,1,1166.131,1606.762,1545.499,-440.631,-379.368,61.263,-167,158,-12,65
188,94,0,1167.309,1603.536,1547.466,-436.227,-380.157,56.07,-167,154,-12,69
189,94,1,1170.632,1595.051,1550.267,-424.419,-379.635,44.784,-163,144,-10,72
190,95,0,1173.906,1586.588,1553.227,-412.682,-379.321,33.361,-161,134,-10,76
191,95,1,1178.695,1572.405,1556.779,-393.71,-378.084,15.626,-156,117,-6,80
192,96,0,1183.381,1558.273,1560.751,-374.892,-377.37,-2.478,-152,100,-2,85
193,96,1,1190.566,1540.538,1564.984,-349.972,-374.418,-24.446,-145,78,2,91
194,97,0,1197.678,1523.106,1570.064,-325.428,-372.386,-46.958,-139,57,7,98
195,97,1,1206.475,1501.069,1570.608,-294.594,-364.133,-69.539,-130,33,13,100
196,98,0,1215.14,1479.608,1572.341,-264.468,-357.201,-92.732,-122,9,20,102
197,98,1,1224.503,1454.803,1567.728,-230.3,-343.224,-112.924,-114,-15,26,100
198,99,0,1233.716,1431.147,1564.744,-197.431,-331.028,-133.596,-105,-40,33,97
199,99,1,1243.847,1406.661,1547.874,-162.814,-304.027,-141.213,-96,-58,36,85
200,100,0,1253.776,1383.486,1532.306,-129.71,-278.53,-148.82,-88,-77,39,69
201,100,1,1261.694,1359.705,1507.849,-98.01,-246.155,-148.144,-81,-90,39,46
202,101,0,1269.382,1337.164,1484.667,-67.782,-215.285,-147.502,-73,-103,39,26
203,101,1,1276.964,1317.582,1457.937,-40.618,-180.973,-140.355,-66,-107,36,5
204,102,0,1284.312,1298.634,1432.311,-14.322,-148.0,-133.677,-60,-112,33,-19
205,102,1,1289.481,1284.877,1413.16,4.604,-123.679,-128.283,-55,-112,29,-36
206,103,0,1294.497,1271.055,1394.293,23.442,-99.796,-123.238,-49,-111,26,-53
207,103,1,1297.548,1261.898,1381.77,35.649,-84.223,-119.872,-46,-109,24,-62
208,104,0,1300.526,1252.597,1369.35,47.929,-68.824,-116.753,-43,-107,22,-73
209,104,1,1301.606,1250.514,1368.681,51.092,-67.075,-118.167,-42,-107,22,-75
210,105,0,1302.551,1248.327,1368.031,54.224,-65.48,-119.704,-42,-107,22,-73
211,105,1,1303.473,1249.547,1370.972,53.926,-67.499,-121.425,-40,-107,23,-71
212,106,0,1304.314,1250.885,1374.344,53.429,-70.03,-123.459,-40,-107,24,-68
213,106,1,1304.335,1250.902,1374.344,53.433,-70.009,-123.442,-40,-107,24,-66
214,107,0,1304.338,1250.899,1374.36,53.439,-70.022,-123.461,-40,-107,24,-66
215,107,1,1304.337,1250.89,1374.349,53.446,-70.012,-123.459,-40,-107,24,-66
216,108,0,1304.339,1250.907,1374.366,53.432,-70.027,-123.459,-40,-107,24,-66
217,108,1,1304.33,1250.893,1374.387,53.438,-70.056,-123.494,-40,-107,24,-66
218,109,0,1304.316,1250.866,1374.58,53.45,-70.264,-123.714,-40,-107,24,-66
219,109,1,1304.996,1250.599,1369.59,54.397,-64.594,-118.991,-39,-106,22,-71
220,110,0,1305.599,1250.323,1364.949,55.276,-59.35,-114.626,-38,-105,20,-75
221,110,1,1307.921,1252.106,1358.792,55.815,-50.871,-106.686,-36,-105,17,-81
222,111,0,1310.139,1253.789,1352.844,56.35,-42.705,-99.054,-34,-105,14,-86
223,111,1,1314.351,1257.408,1344.212,56.943,-29.861,-86.804,-31,-103,9,-94
224,112,0,1318.399,1260.763,1335.541,57.636,-17.141,-74.777,-27,-101,3,-103
225,112,1,1324.13,1264.974,1319.967,59.156,4.163,-54.993,-22,-99,-4,-116
226,113,0,1329.697,1268.957,1304.873,60.74,24.823,-35.917,-17,-98,-12,-131
227,113,1,1338.003,1277.368,1292.833,60.635,45.17,-15.465,-10,-95,-17,-142
228,114,0,1346.107,1285.574,1281.355,60.533,64.753,4.22,-2,-92,-23,-148
229,114,1,1355.231,1295.469,1266.365,59.761,88.866,29.105,6,-90,-28,-161
230,115,0,1364.258,1305.325,1252.384,58.933,111.873,52.941,14,-88,-34,-174
231,115,1,1374.655,1313.488,1229.052,61.166,145.603,84.436,24,-84,-37,-195
232,116,0,1384.934,1321.615,1207.474,63.319,177.46,114.14,35,-81,-40,-211
233,116,1,1394.998,1330.015,1183.447,64.984,211.551,146.567,44,-78,-39,-232
234,117,0,1404.845,1338.237,1160.668,66.608,244.177,177.57,54,-75,-38,-250
235,117,1,1416.516,1348.691,1140.155,67.825,276.361,208.536,66,-71,-31,-269
236,118,0,1428.061,1358.988,1120.631,69.073,307.43,238.356,78,-68,-25,-286
237,118,1,1438.903,1368.238,1100.048,70.665,338.855,268.19,90,-64,-15,-301
238,119,0,1449.564,1377.322,1080.102,72.242,369.462,297.219,102,-62,-4,-320
239,119,1,1458.48,1384.55,1060.142,73.93,398.338,324.408,111,-58,9,-338
240,120,0,1467.238,1391.727,1041.001,75.511,426.236,350.726,121,-55,22,-353
241,120,1,1476.188,1399.563,1025.297,76.625,450.89,374.266,131,-52,36,-368
242,121,0,1485.056,1407.306,1010.078,77.75,474.978,397.228,141,-49,50,-383
243,121,1,1492.828,1414.179,996.951,78.649,495.877,417.228,151,-48,64,-394
244,122,0,1500.505,1421.029,984.263,79.476,516.243,436.766,160,-47,78,-407
245,122,1,1506.935,1426.411,974.291,80.524,532.644,452.12,167,-45,90,-418
246,123,0,1513.313,1431.829,964.708,81.484,548.605,467.121,175,-43,102,-426
247,123,1,1517.927,1436.061,958.077,81.866,559.851,477.985,180,-42,110,-435
248,124,0,1522.595,1440.377,951.637,82.218,570.958,488.74,186,-42,119,-439
249,124,1,1524.668,1441.886,946.097,82.782,578.571,495.789,188,-40,125,-443
250,125,0,1526.833,1443.672,940.951,83.161,585.883,502.721,192,-38,132,-448
251,125,1,1528.981,1445.491,937.531,83.49,591.45,507.959,194,-38,136,-450
252,126,0,1531.245,1447.695,934.696,83.549,596.549,513.0,197,-38,141,-454
253,126,1,1531.497,1447.329,932.478,84.168,599.019,514.851,197,-38,142,-456
254,127,0,1531.789,1446.982,930.245,84.806,601.543,516.737,197,-38,143,-458
255,127,1,1532.657,1448.385,931.84,84.272,600.818,516.546,198,-38,143,-454
256,128,0,1533.673,1450.101,933.754,83.572,599.919,516.348,199,-38,143,-452
257,128,1,1533.656,1450.094,933.746,83.563,599.91,516.347,199,-38,143,-450
258,129,0,1533.643,1450.074,933.728,83.569,599.915,516.346,199,-38,143,-450
259,129,1,1533.63,1450.067,933.733,83.563,599.898,516.335,199,-38,143,-448
260,130,0,1533.633,1450.081,933.762,83.552,599.871,516.319,199,-38,143,-446
261,130,1,1533.691,1450.139,933.801,83.553,599.89,516.337,199,-38,143,-446
262,131,0,1533.671,1450.092,933.746,83.579,599.925,516.346,199,-38,143,-443
263,131,1,1533.648,1450.094,933.754,83.555,599.895,516.34,199,-38,143,-441
264,132,0,1533.654,1450.091,933.744,83.563,599.911,516.348,199,-38,143,-439
265,132,1,1532.641,1449.735,933.584,82.906,599.058,516.151,198,-38,143,-437
266,133,0,1531.741,1449.727,933.877,82.013,597.863,515.85,197,-38,143,-435
267,133,1,1529.588,1451.75,939.733,77.838,589.856,512.017,195,-39,140,-430
268,134,0,1527.509,1454.128,946.315,73.381,581.194,507.813,192,-40,138,-426
269,134,1,1521.244,1457.257,957.703,63.987,563.54,499.554,185,-44,132,-415
270,135,0,1515.018,1460.45,969.478,54.568,545.54,490.972,179,-47,126,-403
271,135,1,1505.69,1467.827,992.685,37.864,513.006,475.142,168,-50,115,-381
272,136,0,1496.342,1475.228,1016.676,21.114,479.666,458.553,158,-53,106,-361
273,136,1,1483.617,1483.425,1047.637,0.192,435.98,435.788,143,-55,93,-331
274,137,0,1470.791,1491.407,1079.68,-20.615,391.112,411.727,130,-56,80,-301
275,137,1,1456.542,1501.298,1119.003,-44.756,337.539,382.295,114,-56,67,-267
276,138,0,1442.176,1510.881,1159.266,-68.705,282.91,351.616,98,-55,54,-230
277,138,1,1427.989,1520.398,1199.172,-92.409,228.817,321.227,83,-50,42,-193
278,139,0,1413.68,1530.025,1240.226,-116.345,173.455,289.799,69,-45,31,-155
279,139,1,1400.749,1538.529,1276.918,-137.78,123.831,261.611,55,-38,24,-122
280,140,0,1387.698,1547.239,1314.661,-159.541,73.038,232.578,42,-30,16,-88
281,140,1,1376.899,1552.412,1340.578,-175.513,36.321,211.834,31,-24,11,-64
282,141,0,1366.013,1557.755,1367.302,-191.742,-1.289,190.453,20,-17,7,-43
283,141,1,1359.535,1561.777,1384.876,-202.242,-25.341,176.901,13,-12,4,-27
284,142,0,1353.05,1565.968,1402.917,-212.918,-49.867,163.051,7,-8,1,-12
285,142,1,1349.504,1567.284,1410.734,-217.78,-61.231,156.549,3,-5,0,-4
286,143,0,1345.946,1568.653,1418.656,-222.707,-72.71,149.997,0,-2,0,3
287,143,1,1345.993,1570.525,1422.892,-224.532,-76.899,147.634,0,-1,0,5
288,144,0,1346.094,1572.549,1427.518,-226.455,-81.424,145.031,0,0,0,9
