frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
66,2298,188.77,129.71,0.548,5.66,0.777,493,2.11,24,1,236.18,112.45,0.080
67,2283,188.72,129.51,0.546,5.34,0.771,490,3.22,24,1,235.80,112.27,0.079
68,2283,188.76,129.41,0.546,5.39,0.765,496,2.25,23,1,235.33,111.92,0.082
69,2298,188.50,129.32,0.551,5.27,0.768,505,3.81,22,1,235.75,112.00,0.081
70,2291,189.06,129.12,0.561,5.33,0.744,517,13.08,21,1,236.89,111.67,0.083
71,2312,189.03,128.93,0.552,4.71,0.738,496,4.04,20,1,235.92,111.08,0.087
72,2312,189.08,128.79,0.543,4.67,0.733,495,3.98,20,1,235.80,111.13,0.081
73,2298,189.18,128.65,0.540,5.66,0.729,536,4.74,19,1,236.60,110.80,0.060
74,2296,188.64,128.44,0.543,6.01,0.754,517,11.88,18,1,236.62,110.31,0.044
75,2290,188.69,128.32,0.548,5.98,0.756,518,5.02,19,1,236.20,109.93,0.032
76,2321,188.78,128.02,0.537,5.69,0.747,526,5.53,19,1,237.20,110.00,0.031
77,2309,189.13,127.77,0.533,5.50,0.741,538,6.11,19,1,236.47,109.27,0.025
78,2297,188.97,127.65,0.537,5.96,0.735,542,6.47,18,1,237.10,109.00,0.015
79,2317,189.24,127.44,0.546,5.52,0.749,549,5.81,18,1,236.94,108.12,0.012
80,2325,188.71,127.18,0.525,5.98,0.731,564,12.52,17,1,237.50,107.90,0.002
81,2332,188.83,126.95,0.529,5.49,0.734,532,6.44,18,1,236.50,107.07,0.003
82,2336,188.47,126.72,0.529,5.69,0.733,532,7.19,16,1,237.31,106.00,0.005
83,2343,188.65,126.46,0.535,5.42,0.748,542,6.25,17,1,237.40,106.00,0.013
84,2349,188.84,126.09,0.522,5.62,0.737,531,7.39,17,1,236.73,105.07,0.016
85,2369,188.54,125.76,0.520,5.74,0.736,539,6.72,15,1,236.75,104.25,0.029
86,2349,188.67,125.46,0.520,6.05,0.735,556,7.74,15,1,238.00,103.89,0.041
87,2358,188.85,125.07,0.520,5.60,0.746,546,6.61,15,1,237.23,103.08,0.042
88,2357,189.45,124.78,0.525,5.56,0.748,546,13.78,15,1,236.92,102.08,0.041
89,2376,189.17,124.32,0.509,5.47,0.729,515,8.15,16,1,237.58,101.17,0.051
90,2367,189.18,124.19,0.506,5.58,0.742,533,7.51,15,1,237.92,101.00,0.055
91,2386,189.64,123.75,0.505,5.53,0.744,548,6.87,16,1,237.86,100.00,0.065
92,2393,189.86,123.44,0.503,5.60,0.733,523,6.67,15,1,237.87,98.87,0.063
93,2406,190.01,123.19,0.501,5.28,0.728,534,6.80,15,1,239.00,97.83,0.069
94,2402,190.14,122.99,0.496,5.45,0.742,535,6.05,15,1,239.64,96.82,0.076
95,2422,190.36,122.72,0.496,5.33,0.740,540,7.12,15,1,239.07,96.50,0.082
96,2411,190.90,122.46,0.504,5.43,0.735,544,12.09,15,1,239.73,95.82,0.084
97,2415,191.76,122.11,0.497,5.34,0.741,555,10.52,15,1,240.14,95.14,0.088
98,2433,192.27,121.67,0.489,5.06,0.746,564,10.11,18,1,240.12,93.88,0.095
99,2435,193.04,121.40,0.491,5.34,0.746,545,9.55,17,1,240.71,92.79,0.100
100,2440,193.33,121.17,0.483,5.53,0.740,529,8.97,16,1,242.20,91.70,0.100
101,2442,194.27,120.87,0.486,5.36,0.737,547,7.95,15,1,242.00,91.09,0.104
102,2438,195.20,120.54,0.478,5.41,0.729,503,8.40,19,1,243.20,89.70,0.101
103,2446,196.19,120.23,0.476,5.48,0.727,531,6.11,18,1,243.54,89.15,0.114
104,2447,197.05,120.00,0.475,5.31,0.748,505,6.22,19,1,243.75,88.25,0.115
105,2441,198.17,119.67,0.474,5.74,0.743,513,6.65,20,1,245.17,87.25,0.114
106,2437,199.46,119.34,0.470,5.83,0.752,519,6.12,21,1,246.40,86.80,0.122
107,2436,200.93,118.93,0.474,5.91,0.748,482,6.86,24,1,248.27,85.91,0.115
108,2426,202.32,118.60,0.470,5.94,0.748,521,6.91,26,1,248.55,85.00,0.125
109,2428,204.11,118.27,0.464,6.01,0.717,475,10.83,30,1,249.46,84.00,0.121
110,2425,205.72,118.07,0.467,5.73,0.747,489,8.71,29,1,250.89,82.11,0.122
111,2439,207.06,117.95,0.460,5.82,0.714,476,9.93,34,1,251.88,81.38,0.118
112,2442,208.96,117.55,0.458,6.10,0.700,492,7.46,33,1,252.60,81.50,0.125
113,2429,210.81,117.56,0.460,6.05,0.713,470,7.24,36,1,254.60,80.50,0.124
114,2439,212.62,117.37,0.452,5.90,0.716,492,6.36,39,1,255.50,79.92,0.129
115,2430,214.63,117.28,0.451,6.05,0.711,490,6.17,102,1,257.38,79.62,0.129
116,2409,217.39,117.21,0.458,5.85,0.717,453,13.67,106,1,258.38,78.50,0.127
117,2422,219.14,117.32,0.456,5.57,0.727,464,7.15,103,1,260.91,78.45,0.127
118,2437,220.96,117.40,0.453,5.58,0.714,452,6.72,102,1,261.75,77.38,0.130
119,2429,223.44,117.53,0.451,5.93,0.706,430,6.90,104,1,264.50,77.30,0.126
120,2429,225.53,117.41,0.443,6.13,0.708,501,7.83,107,1,263.88,76.75,0.130
121,2429,227.84,117.45,0.453,5.56,0.717,465,7.76,180,1,266.00,76.60,0.142
122,2416,230.48,117.59,0.452,5.50,0.706,450,11.92,179,1,268.60,76.40,0.135
123,2430,232.58,117.48,0.446,5.72,0.689,474,8.16,178,1,269.38,75.75,0.137
124,2416,234.70,117.51,0.440,5.88,0.707,458,7.62,177,1,271.00,75.62,0.140
125,2393,237.73,117.50,0.448,5.77,0.718,463,11.19,176,1,272.62,75.75,0.136
126,2406,239.61,117.61,0.444,5.99,0.706,473,8.42,175,1,274.45,75.73,0.140
127,2399,241.72,117.68,0.440,6.13,0.731,440,7.80,174,1,276.44,75.00,0.146
128,2390,244.42,117.63,0.441,5.73,0.711,469,12.49,173,1,276.91,75.82,0.137
129,2400,246.12,118.00,0.437,5.83,0.708,443,7.63,172,1,278.62,75.25,0.140
130,2398,248.24,118.32,0.443,6.26,0.698,459,6.92,170,1,280.25,75.12,0.142
131,2430,249.84,118.33,0.440,5.43,0.696,445,7.03,169,1,281.09,75.82,0.147
132,2428,252.35,118.33,0.442,5.31,0.706,428,15.98,169,1,282.18,76.09,0.135
133,2420,254.13,118.44,0.442,5.62,0.700,459,5.77,168,1,283.22,76.11,0.142
134,2432,255.54,118.65,0.436,5.63,0.680,462,11.35,166,1,284.00,76.20,0.145
135,2433,256.77,119.04,0.438,5.63,0.688,433,9.14,165,1,285.73,76.67,0.146
136,2401,259.11,119.01,0.441,6.16,0.673,445,8.25,164,1,287.33,75.33,0.142
137,2403,260.69,118.79,0.437,6.28,0.687,442,9.52,163,1,287.89,75.67,0.140
138,2416,261.68,118.89,0.436,6.00,0.662,466,7.62,162,1,287.17,76.67,0.140
139,2433,262.65,118.94,0.436,5.92,0.670,456,5.03,161,1,288.50,77.17,0.141
140,2440,263.55,119.48,0.439,5.53,0.665,466,13.22,159,1,289.00,77.00,0.148
141,2425,264.50,119.69,0.440,5.90,0.653,419,4.62,77,1,290.33,76.33,0.141
142,2440,265.41,119.59,0.441,5.45,0.645,493,6.25,76,1,289.55,77.64,0.146
143,2438,265.97,119.72,0.442,5.25,0.653,464,6.96,75,1,289.70,78.70,0.141
144,2420,266.41,119.93,0.439,5.87,0.659,464,8.06,69,1,290.00,78.30,0.143
145,2424,266.72,120.00,0.440,5.78,0.663,458,7.32,70,1,291.12,77.88,0.137
146,2452,266.89,120.25,0.439,5.42,0.643,473,7.50,68,1,290.45,79.00,0.143
