frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
66,1529,236.76,111.22,0.719,34.01,0.564,320,28.83,5,1,218.11,110.00,0.315
67,1515,234.62,110.73,0.708,34.85,0.526,336,26.45,5,1,214.64,110.36,0.324
68,1482,232.51,110.92,0.696,36.10,0.565,290,23.39,5,1,213.88,115.00,0.330
69,1527,230.14,110.69,0.706,34.25,0.694,337,23.83,6,1,211.82,116.18,0.355
70,1539,228.17,111.23,0.728,33.46,0.711,297,26.78,7,1,211.58,119.25,0.360
71,1558,226.47,111.57,0.722,33.50,0.791,310,26.11,10,1,212.86,121.36,0.375
72,1572,224.85,112.26,0.713,33.46,0.820,320,25.92,10,1,214.47,123.67,0.378
73,1579,224.61,112.98,0.717,32.81,0.781,318,21.88,9,1,216.77,125.38,0.383
74,1559,224.32,113.96,0.713,33.80,0.772,328,20.38,9,1,219.43,126.43,0.384
75,1569,224.35,114.59,0.712,33.01,0.664,327,19.92,8,1,222.18,127.47,0.375
76,1515,225.43,114.93,0.709,34.72,0.389,291,18.80,8,1,224.29,128.21,0.363
77,1546,224.47,115.52,0.698,34.67,0.748,338,21.93,6,1,226.44,128.62,0.369
78,1538,224.66,115.81,0.699,34.72,0.401,319,12.18,6,1,227.83,129.08,0.355
79,1526,225.51,115.86,0.711,34.80,0.287,300,13.51,6,1,228.55,129.18,0.348
80,1534,225.49,115.95,0.710,34.42,0.424,313,5.84,5,1,229.15,129.00,0.344
81,1536,225.89,116.69,0.700,34.57,0.384,317,19.84,4,1,232.60,129.60,0.328
82,1546,226.23,117.51,0.723,33.89,0.710,338,21.13,3,1,235.62,129.62,0.312
83,1585,226.54,118.06,0.694,40.44,0.553,321,41.15,2,1,238.25,129.75,0.319
84,1867,227.20,116.73,0.743,31.23,0.638,436,42.30,2,1,240.58,129.00,0.360
85,1954,225.42,115.55,0.686,4.76,0.161,428,42.37,2,1,242.58,126.17,0.401
86,1974,221.00,114.67,0.606,4.71,0.194,416,47.75,2,1,239.75,128.17,0.404
87,1946,211.66,115.47,0.543,4.32,0.196,379,47.23,2,1,240.86,128.57,0.381
88,1951,202.58,118.62,0.493,4.92,0.300,429,47.89,1,1,226.58,128.58,0.364
