frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
66,3767,259.07,138.46,0.648,34.38,0.557,525,17.96,9,1,288.05,143.38,0.219
67,3782,260.72,138.31,0.655,33.98,0.663,573,20.00,9,1,289.90,140.80,0.226
68,3805,262.49,138.26,0.656,33.75,0.706,570,19.74,8,1,284.39,140.06,0.239
69,3824,264.09,138.06,0.655,33.71,0.747,519,20.92,8,1,278.18,139.09,0.242
70,3846,266.15,137.78,0.660,33.07,0.733,564,19.87,8,1,276.50,140.29,0.249
71,3824,267.83,137.10,0.652,33.66,0.771,543,22.17,8,1,290.26,134.00,0.267
72,3866,269.72,136.66,0.656,33.03,0.785,560,21.66,9,1,296.37,132.47,0.276
73,3889,271.18,135.89,0.657,33.04,0.776,591,20.65,8,1,288.09,133.00,0.300
74,3922,273.02,135.28,0.660,32.87,0.800,591,22.28,8,1,288.68,127.07,0.321
75,3943,274.20,134.13,0.667,32.54,0.790,619,21.25,8,1,297.31,120.45,0.336
76,3938,275.24,133.26,0.661,32.91,0.787,590,21.94,8,1,293.57,119.76,0.343
77,3911,275.79,132.02,0.666,33.32,0.798,633,21.00,8,1,288.25,116.67,0.352
78,3957,276.77,130.95,0.662,32.65,0.793,663,21.75,8,1,287.52,114.90,0.359
79,3944,276.48,129.48,0.666,32.81,0.822,640,20.02,8,1,281.93,115.90,0.353
80,3936,276.57,128.48,0.665,32.88,0.823,633,20.99,8,1,280.77,112.45,0.353
81,3920,276.18,126.93,0.669,33.47,0.743,663,24.99,8,1,276.67,110.50,0.355
82,3921,275.61,125.77,0.664,33.51,0.768,632,22.80,8,1,273.11,108.28,0.356
83,3896,274.47,124.54,0.673,33.50,0.702,641,20.92,11,1,265.59,115.23,0.353
84,3836,272.42,123.98,0.687,34.02,0.703,640,23.19,11,1,263.23,108.00,0.341
85,3905,272.42,122.42,0.666,33.55,0.659,638,24.51,10,1,255.90,114.93,0.351
86,3928,270.95,121.69,0.666,32.92,0.647,626,22.82,9,1,250.63,113.59,0.348
87,3892,269.44,120.98,0.665,33.63,0.597,657,22.92,9,1,248.41,115.47,0.345
88,3867,267.52,120.45,0.671,33.88,0.605,644,23.58,9,1,243.86,113.81,0.338
89,3847,265.92,120.11,0.663,34.31,0.590,618,23.92,9,1,238.20,115.80,0.334
90,3822,263.95,120.09,0.660,34.38,0.591,627,22.11,9,1,235.60,118.50,0.325
91,3830,262.24,119.86,0.658,33.76,0.596,607,22.17,9,1,234.24,120.76,0.316
92,3777,260.63,120.10,0.652,34.71,0.655,594,20.80,9,1,233.18,127.45,0.305
93,3768,259.02,120.21,0.653,34.79,0.671,572,21.21,9,1,227.86,121.86,0.304
94,3790,257.17,120.37,0.656,34.62,0.537,586,21.03,9,1,226.44,124.67,0.301
95,3804,255.29,120.51,0.657,34.38,0.536,600,21.11,10,1,225.12,126.71,0.310
96,3814,253.04,121.03,0.656,34.11,0.486,595,22.63,11,1,223.12,127.92,0.312
97,3844,251.46,121.41,0.654,33.38,0.498,561,21.24,11,1,222.30,129.87,0.311
98,3822,249.97,122.04,0.651,34.33,0.796,574,19.84,13,1,222.59,133.59,0.311
99,3871,248.68,122.43,0.659,33.27,0.528,566,16.96,12,1,222.00,134.92,0.313
100,3876,247.24,123.17,0.659,33.46,0.797,579,18.06,11,1,224.46,137.75,0.305
101,3899,246.30,123.83,0.668,33.29,0.540,577,19.56,10,1,224.53,140.24,0.303
102,3897,244.94,124.69,0.665,33.26,0.789,582,17.04,9,1,226.19,141.86,0.287
103,3901,244.32,125.37,0.660,33.84,0.575,580,18.40,8,1,227.10,143.57,0.260
104,3888,243.67,126.21,0.662,33.82,0.587,559,16.60,8,1,228.30,144.35,0.235
105,3922,243.24,126.71,0.662,33.22,0.777,615,17.18,7,1,230.37,146.47,0.222
106,3879,243.56,127.63,0.669,33.54,0.781,616,15.10,6,1,232.86,147.29,0.169
107,3920,242.91,128.22,0.661,33.01,0.783,581,16.23,5,1,234.30,148.00,0.153
108,3897,242.84,129.09,0.662,33.49,0.768,562,13.39,4,1,235.89,149.39,0.134
109,3905,242.86,130.37,0.658,33.16,0.774,602,12.18,3,1,239.13,150.74,0.118
110,3855,243.41,130.22,0.668,33.98,0.779,571,15.90,2,1,240.11,151.05,0.072
111,3979,242.49,119.88,0.647,38.65,0.758,678,40.29,2,1,242.63,144.32,0.147
112,4074,237.15,106.68,0.645,45.63,0.650,707,39.68,2,1,246.62,135.21,0.198
113,4197,227.26,96.13,0.636,49.44,0.597,695,38.24,2,1,242.23,122.55,0.223
114,4417,215.99,90.23,0.605,52.80,0.476,786,44.26,2,1,237.53,113.47,0.274
115,5397,207.52,89.94,0.679,4.43,0.173,954,49.50,2,1,246.26,111.30,0.361
116,5232,196.53,94.64,0.644,4.17,0.111,877,46.58,1,1,252.71,115.71,0.350
117,5058,188.82,105.94,0.598,4.45,0.179,839,53.65,1,1,240.29,120.83,0.262
118,4785,186.89,118.37,0.557,4.51,0.294,739,55.70,1,1,244.11,125.00,0.165
119,4291,187.74,120.92,0.507,5.31,0.646,766,61.48,1,1,236.48,124.48,0.120
120,4133,188.62,117.56,0.527,4.72,0.785,774,61.83,15,1,244.63,112.47,0.069
121,4148,188.65,117.55,0.529,4.60,0.776,783,1.89,14,1,241.05,113.68,0.068
122,4132,188.89,117.49,0.529,4.82,0.773,814,4.44,13,1,241.11,113.89,0.068
123,4151,188.70,117.26,0.527,4.75,0.750,792,2.60,12,1,236.10,115.76,0.070
124,4153,188.58,117.10,0.528,4.74,0.748,763,3.97,11,1,245.50,112.35,0.073
125,4139,188.59,117.12,0.533,4.95,0.784,790,1.63,10,1,241.81,113.00,0.073
126,4140,188.49,116.89,0.527,4.86,0.768,747,2.88,9,1,240.91,114.48,0.073
127,4136,188.49,117.09,0.527,4.76,0.784,762,7.45,8,1,235.05,115.76,0.062
128,4196,188.58,117.24,0.530,4.89,0.780,731,9.90,7,1,242.61,113.25,0.063
129,4294,188.81,117.77,0.531,4.98,0.787,832,15.64,7,1,235.54,115.38,0.060
130,4469,189.76,118.72,0.539,4.95,0.767,807,17.51,8,1,241.33,113.42,0.054
131,4586,189.11,119.10,0.543,5.39,0.780,866,12.10,8,1,243.57,113.07,0.045
132,4702,188.63,119.84,0.550,5.19,0.754,852,15.46,8,1,241.95,112.80,0.030
133,4694,187.20,120.58,0.545,5.35,0.740,830,12.72,8,1,238.86,114.09,0.023
134,4692,185.38,121.32,0.537,5.50,0.763,867,13.10,8,1,249.86,112.00,0.018
135,4699,184.55,122.62,0.529,5.58,0.768,842,12.14,8,1,244.24,112.76,0.012
136,4702,183.93,123.87,0.529,5.66,0.794,938,13.21,8,1,248.44,111.69,0.005
137,4672,183.21,125.12,0.523,5.78,0.735,858,12.89,9,1,248.20,112.00,0.014
138,4714,183.08,125.97,0.527,5.18,0.758,824,13.21,9,1,253.05,109.33,0.022
139,4700,183.12,126.93,0.524,5.36,0.783,827,12.32,10,1,253.62,109.71,0.024
140,4707,182.61,127.58,0.524,5.21,0.793,823,12.57,21,1,253.29,109.71,0.027
141,4687,182.53,128.33,0.524,5.36,0.787,787,12.72,20,1,253.37,109.63,0.030
142,4657,182.66,128.98,0.522,5.43,0.736,762,12.97,19,1,252.90,109.67,0.038
143,4669,182.76,130.00,0.529,5.20,0.790,760,12.24,18,1,252.79,110.05,0.051
144,4622,183.08,130.89,0.536,5.28,0.769,800,12.04,17,1,253.82,110.29,0.053
145,4652,183.13,131.60,0.536,5.44,0.773,786,11.73,16,1,253.71,110.06,0.050
146,4631,183.37,132.22,0.542,5.64,0.790,805,11.47,15,1,253.35,110.35,0.044
147,4626,183.60,132.66,0.543,5.38,0.774,767,6.82,14,1,253.75,110.19,0.049
148,4617,183.47,133.08,0.543,5.05,0.765,786,7.52,13,1,246.24,112.29,0.049
149,4618,183.63,133.37,0.547,5.13,0.765,776,5.46,12,1,253.53,110.35,0.046
150,4579,183.73,133.49,0.547,5.63,0.784,777,5.07,11,1,246.26,112.16,0.034
151,4584,183.77,133.67,0.547,5.52,0.782,794,3.37,10,1,253.65,110.41,0.034
152,4585,183.82,133.70,0.547,5.61,0.770,810,1.45,9,1,253.83,110.44,0.035
153,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,8,1,253.83,110.44,0.035
154,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,7,1,253.83,110.44,0.035
155,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,6,1,253.83,110.44,0.035
156,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,5,1,253.83,110.44,0.035
157,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,4,1,253.83,110.44,0.035
158,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,3,1,253.83,110.44,0.035
159,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,2,1,253.83,110.44,0.035
160,4585,183.82,133.70,0.547,5.61,0.770,810,0.00,1,1,253.83,110.44,0.035
