light-trace slot=28 ticks=192 m=19 v=39 b=8/9 w=33 max_old_new=19000 max_jump_old=2263 max_jump_new=2228
tick,key,sub,legacy,normalised,face_inward,face_outward
162,81,0,47428,47429,0,41901
163,81,1,47428,47429,0,41901
164,82,0,47428,47429,0,41901
165,82,1,47428,47429,0,41901
166,83,0,47428,47429,0,41901
167,83,1,47428,47429,0,41901
168,84,0,47428,47429,0,41901
169,84,1,47428,47429,0,41901
170,85,0,47428,47429,0,41901
171,85,1,47428,47429,0,41901
172,86,0,47428,47429,0,41901
173,86,1,47428,47429,0,41901
174,87,0,47428,47429,0,41901
175,87,1,47428,47429,0,41901
176,88,0,47428,47429,0,41901
177,88,1,47428,47429,0,41901
178,89,0,47428,47429,0,41901
179,89,1,47428,47429,0,41901
180,90,0,47428,47429,0,41901
181,90,1,47428,47429,0,41901
182,91,0,47428,47429,0,41901
183,91,1,47428,47429,0,41901
184,92,0,47428,47429,0,41901
185,92,1,47428,47429,0,41901
186,93,0,47428,47429,0,41901
187,93,1,47428,47429,0,41901
188,94,0,47428,47429,0,41901
189,94,1,47428,47429,0,41901
190,95,0,47428,47429,0,41901
191,95,1,47428,47429,0,41901
