frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
66,4658,186.09,128.74,0.576,5.39,0.497,781,4.24,43,1,247.99,107.25,0.034
67,4676,185.91,128.58,0.578,5.20,0.711,739,3.29,41,1,248.17,107.43,0.036
68,4677,185.59,128.56,0.576,5.26,0.710,751,3.22,40,1,248.10,107.36,0.039
69,4661,186.11,128.64,0.584,5.21,0.521,799,8.33,40,1,247.11,107.48,0.033
70,4668,185.62,128.59,0.579,5.25,0.500,757,2.98,38,1,247.63,107.62,0.034
71,4688,185.70,128.56,0.582,4.99,0.672,799,2.12,37,1,247.05,107.69,0.033
72,4667,185.44,128.53,0.580,5.27,0.697,820,2.93,36,1,246.27,107.92,0.033
73,4648,185.75,128.68,0.586,5.29,0.515,805,3.15,35,1,246.84,108.09,0.033
74,4661,185.54,128.59,0.585,5.39,0.710,870,2.57,34,1,246.63,108.24,0.025
75,4665,185.67,128.52,0.586,5.32,0.693,881,1.91,33,1,246.27,108.33,0.026
76,4679,185.69,128.48,0.590,5.13,0.688,831,1.61,32,1,246.22,108.41,0.030
77,4660,185.97,128.62,0.596,5.15,0.692,849,1.59,32,1,245.94,108.46,0.036
78,4689,185.83,128.47,0.593,4.82,0.498,812,1.89,30,1,246.49,108.58,0.036
79,4673,185.87,128.47,0.591,5.09,0.679,809,1.15,29,1,246.23,108.64,0.033
80,4677,185.98,128.42,0.591,5.20,0.687,816,1.65,28,1,246.60,108.55,0.031
81,4662,186.13,128.45,0.591,5.30,0.678,728,1.80,27,1,247.96,108.51,0.034
82,4660,186.16,128.39,0.595,5.32,0.686,734,1.24,26,1,248.44,108.70,0.034
83,4671,186.21,128.33,0.590,5.33,0.696,784,1.85,25,1,247.52,108.63,0.026
84,4671,186.37,128.28,0.589,5.48,0.500,758,1.74,24,1,248.65,108.48,0.028
85,4673,186.52,128.26,0.589,5.37,0.505,743,1.49,23,1,247.99,108.48,0.026
86,4674,186.77,128.20,0.588,5.52,0.478,752,3.14,22,1,249.67,108.53,0.024
87,4661,186.92,128.26,0.593,5.34,0.472,743,2.64,21,1,249.65,108.38,0.035
88,4671,186.97,128.11,0.588,5.37,0.659,779,3.25,20,1,250.02,108.35,0.028
89,4685,187.28,128.07,0.590,4.99,0.665,831,5.16,19,1,249.60,108.16,0.033
90,4686,187.02,127.90,0.586,4.89,0.473,775,5.42,18,1,250.69,107.93,0.042
91,4682,187.47,127.75,0.586,5.10,0.660,782,5.00,17,1,251.66,107.79,0.046
92,4681,187.87,127.61,0.587,5.17,0.464,775,5.83,16,1,251.66,107.57,0.036
93,4694,188.17,127.47,0.586,4.94,0.451,758,5.22,14,1,251.19,107.52,0.032
94,4657,188.65,127.20,0.584,5.41,0.485,741,6.08,13,1,251.65,107.39,0.011
95,4661,188.95,127.04,0.587,5.45,0.495,843,5.39,12,1,252.14,107.32,0.011
96,4668,189.16,126.64,0.584,5.48,0.669,840,6.69,11,1,251.83,107.33,0.008
97,4675,188.90,126.32,0.584,4.86,0.451,767,6.68,11,1,252.64,107.17,0.012
98,4652,188.90,126.24,0.580,5.03,0.460,810,6.45,10,1,252.96,107.04,0.009
99,4648,188.18,125.84,0.563,5.49,0.484,777,11.55,10,1,249.47,107.64,0.012
100,4606,187.87,125.74,0.560,5.17,0.686,806,10.95,9,1,248.32,107.81,0.005
101,4643,186.82,125.52,0.547,4.74,0.696,744,12.47,9,1,253.01,106.84,0.005
102,4618,185.88,125.15,0.533,5.33,0.718,778,14.07,9,1,241.90,108.89,0.021
103,4593,185.28,124.97,0.528,5.18,0.748,792,13.16,8,1,252.81,106.79,0.010
104,4600,184.50,124.79,0.519,4.89,0.743,764,14.32,8,1,248.35,107.60,0.004
105,4557,183.52,124.45,0.505,5.29,0.783,819,15.16,8,1,252.91,106.84,0.014
106,4572,182.69,124.48,0.504,4.88,0.736,816,14.87,8,1,246.16,108.07,0.001
107,4533,181.60,124.16,0.501,5.34,0.763,839,14.11,8,1,246.77,108.08,0.001
108,4549,180.87,124.09,0.497,5.23,0.785,894,14.92,7,1,252.52,106.96,0.013
109,4553,179.12,123.78,0.493,4.66,0.777,804,16.93,8,1,251.97,107.13,0.000
110,4550,178.04,123.49,0.492,4.62,0.802,810,13.77,9,1,251.66,107.11,0.015
111,4545,176.64,123.45,0.488,4.93,0.790,800,15.33,10,1,245.22,107.94,0.003
112,4531,175.73,123.22,0.485,5.01,0.809,828,13.86,9,1,251.04,107.73,0.022
113,4540,175.42,123.28,0.493,4.78,0.808,907,14.50,12,1,251.00,107.99,0.015
114,4538,174.10,122.79,0.486,4.87,0.833,926,13.52,14,1,247.59,108.27,0.026
115,4524,172.25,123.00,0.488,4.66,0.814,812,14.99,31,1,247.72,108.79,0.018
116,4484,172.09,122.84,0.490,5.06,0.834,854,12.88,30,1,251.48,108.41,0.020
117,4505,171.33,122.72,0.494,4.37,0.840,868,12.61,29,1,245.67,108.99,0.003
118,4474,170.70,122.55,0.489,5.07,0.838,861,12.47,28,1,243.34,109.85,0.021
119,4466,170.70,122.54,0.494,4.50,0.839,852,11.71,27,1,250.52,108.97,0.004
120,4437,170.23,122.45,0.497,4.64,0.820,859,9.24,26,1,243.80,109.22,0.006
121,4400,169.70,122.44,0.496,5.23,0.837,865,10.45,25,1,250.55,109.29,0.006
122,4428,169.38,122.35,0.499,4.29,0.840,809,8.09,24,1,250.58,109.40,0.025
123,4352,169.27,122.35,0.500,5.24,0.825,843,8.30,22,1,250.25,109.81,0.007
124,4357,169.06,122.35,0.502,4.93,0.847,799,8.21,21,1,250.92,109.89,0.029
125,4352,168.53,122.41,0.506,5.19,0.854,819,8.00,20,1,250.62,109.84,0.023
126,4317,169.49,122.21,0.506,5.33,0.844,867,9.18,19,1,250.46,109.92,0.014
127,4352,168.90,122.13,0.507,4.85,0.839,831,7.27,18,1,250.72,110.00,0.017
128,4373,168.37,122.05,0.506,4.89,0.848,836,6.67,17,1,250.80,110.01,0.016
129,4369,168.29,122.03,0.505,5.08,0.852,845,1.86,16,1,251.02,109.98,0.017
130,4367,168.41,122.06,0.506,4.97,0.851,818,1.81,15,1,251.13,109.95,0.014
131,4386,168.53,121.98,0.506,4.86,0.836,822,1.83,14,1,251.21,109.91,0.016
132,4395,168.31,121.88,0.505,4.98,0.836,814,1.96,13,1,251.65,109.85,0.014
133,4408,168.65,121.81,0.507,4.74,0.856,832,2.45,12,1,251.61,109.87,0.011
134,4400,168.49,121.79,0.505,4.91,0.853,817,1.84,11,1,251.70,109.54,0.016
135,4384,168.40,121.79,0.502,5.11,0.859,823,2.30,10,1,251.99,109.24,0.013
136,4372,168.59,121.78,0.501,5.19,0.852,777,2.44,9,1,252.51,109.31,0.010
137,4331,170.20,121.72,0.505,5.29,0.850,823,12.52,8,1,252.47,109.13,0.006
138,4334,170.34,121.79,0.508,5.28,0.853,824,2.62,7,1,252.16,108.99,0.003
139,4320,169.90,121.85,0.503,5.67,0.841,869,3.05,6,1,252.66,108.93,0.003
140,4341,168.95,121.88,0.501,5.64,0.845,838,6.93,5,1,252.83,108.75,0.001
141,4349,168.57,121.90,0.501,5.47,0.847,830,2.63,4,1,252.53,108.47,0.006
142,4377,168.46,121.90,0.500,5.35,0.856,798,2.67,3,1,253.24,108.31,0.018
143,4391,168.65,121.83,0.500,5.19,0.860,812,2.08,2,1,253.03,108.14,0.008
144,4346,170.58,121.76,0.504,5.09,0.846,841,12.19,2,1,252.43,108.08,0.011
145,4538,176.10,122.50,0.497,4.85,0.804,868,49.68,2,1,253.61,108.02,0.016
146,4608,184.37,124.46,0.526,4.38,0.729,781,49.42,6,1,254.00,107.94,0.006
147,4680,188.76,125.48,0.582,5.02,0.679,758,40.08,5,1,253.63,106.62,0.013
148,4695,187.17,128.77,0.569,4.90,0.655,726,32.77,6,1,253.19,107.60,0.058
149,4675,186.06,129.77,0.567,5.20,0.721,776,21.46,5,1,251.92,108.27,0.037
150,4661,184.74,130.85,0.560,5.21,0.778,789,18.89,4,1,250.79,108.57,0.034
151,4642,184.56,132.77,0.558,4.93,0.772,772,18.73,3,1,250.20,109.47,0.044
152,4585,183.82,133.70,0.547,5.61,0.770,810,16.27,2,1,251.03,110.06,0.035
153,4654,179.29,131.00,0.545,5.33,0.768,784,41.85,1,1,250.57,110.90,0.051
154,4739,174.48,122.28,0.532,5.02,0.492,849,53.03,1,1,238.63,111.30,0.141
155,4948,171.92,109.48,0.537,5.15,0.338,878,60.10,1,1,230.92,111.44,0.273
156,5070,181.89,98.63,0.560,4.83,0.190,848,59.71,1,1,234.11,113.66,0.321
157,5267,200.20,96.39,0.635,4.52,0.159,866,54.04,2,1,242.72,117.85,0.362
158,4358,216.83,102.58,0.602,54.54,0.562,779,46.42,2,1,242.57,126.36,0.203
159,4081,230.40,112.53,0.638,47.66,0.640,655,40.20,3,1,254.45,136.25,0.156
160,3906,239.86,123.74,0.653,40.91,0.514,561,38.12,18,1,255.69,146.72,0.122
161,3924,244.17,131.29,0.658,35.63,0.543,609,36.26,16,1,259.11,150.71,0.091
162,3896,246.18,135.86,0.658,33.80,0.549,621,26.14,13,1,261.00,153.70,0.074
163,3860,247.32,136.41,0.667,33.81,0.639,607,12.79,13,1,261.94,154.02,0.085
164,3909,247.48,136.62,0.663,33.13,0.542,662,12.16,12,1,265.09,153.64,0.111
165,3905,248.37,136.87,0.668,33.03,0.547,646,14.70,12,1,266.50,153.43,0.126
166,3869,249.30,137.23,0.674,33.45,0.604,598,15.91,11,1,271.22,152.64,0.132
167,3881,250.22,137.59,0.667,33.21,0.603,569,15.17,11,1,272.82,152.26,0.147
168,3861,251.36,138.19,0.668,33.44,0.512,602,17.58,11,1,278.01,150.99,0.151
169,3835,252.33,138.32,0.663,34.03,0.574,603,15.62,10,1,279.43,150.40,0.162
170,3860,253.51,138.62,0.666,33.08,0.595,569,16.57,10,1,281.91,149.76,0.182
171,3834,254.81,138.51,0.663,33.28,0.583,618,17.20,9,1,281.59,149.52,0.197
172,3824,256.34,138.70,0.658,33.53,0.598,590,20.07,9,1,285.55,148.26,0.214
173,3786,257.61,138.42,0.657,34.05,0.622,579,17.37,9,1,289.38,145.72,0.220
174,3767,259.07,138.46,0.648,34.38,0.557,525,17.96,9,1,288.48,145.36,0.219
175,3782,260.72,138.31,0.655,33.98,0.663,573,20.00,9,1,290.52,142.33,0.226
176,3805,262.49,138.26,0.656,33.75,0.706,570,19.74,8,1,285.86,143.43,0.239
177,3824,264.09,138.06,0.655,33.71,0.747,519,20.92,8,1,281.94,143.95,0.242
178,3846,266.15,137.78,0.660,33.07,0.733,564,19.87,8,1,280.16,145.32,0.249
179,3824,267.83,137.10,0.652,33.66,0.771,543,22.17,8,1,291.83,135.89,0.267
180,3866,269.72,136.66,0.656,33.03,0.785,560,21.66,9,1,296.98,133.54,0.276
181,3889,271.18,135.89,0.657,33.04,0.776,591,20.65,8,1,291.08,135.36,0.300
182,3922,273.02,135.28,0.660,32.87,0.800,591,22.28,8,1,291.39,127.34,0.321
183,3943,274.20,134.13,0.667,32.54,0.790,619,21.25,8,1,297.49,122.08,0.336
184,3938,275.24,133.26,0.661,32.91,0.787,590,21.94,8,1,294.95,120.25,0.343
185,3911,275.79,132.02,0.666,33.32,0.798,633,21.00,8,1,290.16,116.38,0.352
186,3957,276.77,130.95,0.662,32.65,0.793,663,21.75,8,1,289.40,114.35,0.359
187,3944,276.48,129.48,0.666,32.81,0.822,640,20.02,8,1,284.45,112.78,0.353
188,3936,276.57,128.48,0.665,32.88,0.823,633,20.99,8,1,282.72,110.22,0.353
189,3920,276.18,126.93,0.669,33.47,0.743,663,24.99,8,1,278.47,107.89,0.355
190,3921,275.61,125.77,0.664,33.51,0.768,632,22.80,8,1,274.48,106.15,0.356
191,3896,274.47,124.54,0.673,33.50,0.702,641,20.92,11,1,267.08,108.57,0.353
192,3836,272.42,123.98,0.687,34.02,0.703,640,23.19,11,1,264.06,104.64,0.341
193,3905,272.42,122.42,0.666,33.55,0.659,638,24.51,10,1,255.30,107.89,0.351
194,3928,270.95,121.69,0.666,32.92,0.647,626,22.82,9,1,249.29,107.62,0.348
195,3892,269.44,120.98,0.665,33.63,0.597,657,22.92,9,1,246.98,109.10,0.345
196,3867,267.52,120.45,0.671,33.88,0.605,644,23.58,9,1,242.29,108.89,0.338
197,3847,265.92,120.11,0.663,34.31,0.590,618,23.92,9,1,235.32,112.15,0.334
198,3822,263.95,120.09,0.660,34.38,0.591,627,22.11,9,1,232.22,115.87,0.325
199,3830,262.24,119.86,0.658,33.76,0.596,607,22.17,9,1,231.02,118.71,0.316
200,3777,260.63,120.10,0.652,34.71,0.655,594,20.80,9,1,229.11,129.88,0.305
201,3768,259.02,120.21,0.653,34.79,0.671,572,21.21,9,1,225.91,120.23,0.304
202,3790,257.17,120.37,0.656,34.62,0.537,586,21.03,9,1,224.64,123.48,0.301
203,3804,255.29,120.51,0.657,34.38,0.536,600,21.11,10,1,223.80,125.56,0.310
204,3814,253.04,121.03,0.656,34.11,0.486,595,22.63,11,1,222.26,126.42,0.312
205,3844,251.46,121.41,0.654,33.38,0.498,561,21.24,11,1,221.52,128.27,0.311
206,3822,249.97,122.04,0.651,34.33,0.796,574,19.84,13,1,221.84,131.77,0.311
207,3871,248.68,122.43,0.659,33.27,0.528,566,16.96,12,1,221.43,132.77,0.313
208,3876,247.24,123.17,0.659,33.46,0.797,579,18.06,11,1,223.44,135.94,0.305
209,3899,246.30,123.83,0.668,33.29,0.540,577,19.56,10,1,223.53,137.82,0.303
210,3897,244.94,124.69,0.665,33.26,0.789,582,17.04,9,1,224.87,139.72,0.287
211,3901,244.32,125.37,0.660,33.84,0.575,580,18.40,9,1,225.71,141.20,0.260
212,3888,243.67,126.21,0.662,33.82,0.587,559,16.60,8,1,226.57,142.41,0.235
213,3922,243.24,126.71,0.662,33.22,0.777,615,17.18,7,1,228.55,144.20,0.222
214,3879,243.56,127.63,0.669,33.54,0.781,616,15.10,6,1,230.64,145.68,0.169
215,3920,242.91,128.22,0.661,33.01,0.783,581,16.23,5,1,232.25,146.67,0.153
216,3897,242.84,129.09,0.662,33.49,0.768,562,13.39,4,1,233.56,147.99,0.134
