frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
66,4674,186.12,128.54,0.572,5.24,0.714,799,2.22,37,1,248.58,107.23,0.030
67,4682,186.03,128.57,0.580,5.43,0.526,800,2.45,36,1,248.18,107.43,0.033
68,4648,186.03,128.65,0.581,5.55,0.698,793,2.41,35,1,247.98,107.35,0.035
69,4681,185.96,128.50,0.580,5.11,0.513,798,2.48,34,1,247.11,107.48,0.032
70,4673,185.61,128.58,0.580,5.05,0.684,746,2.12,33,1,247.63,107.62,0.037
71,4683,185.75,128.51,0.581,5.23,0.681,845,2.66,32,1,247.34,107.75,0.030
72,4667,185.44,128.53,0.580,5.27,0.697,820,2.24,31,1,246.27,107.92,0.033
73,4648,185.75,128.68,0.586,5.29,0.515,805,3.15,30,1,246.84,108.09,0.033
74,4661,185.54,128.59,0.585,5.39,0.710,870,2.57,29,1,246.63,108.24,0.025
75,4664,185.78,128.60,0.594,5.10,0.684,836,3.60,28,1,246.19,108.38,0.034
76,4674,185.90,128.46,0.592,5.13,0.505,816,2.75,27,1,246.20,108.44,0.030
77,4677,186.06,128.39,0.594,5.05,0.686,857,3.92,26,1,246.32,108.45,0.032
78,4674,186.15,128.24,0.591,5.20,0.489,790,4.54,25,1,246.46,108.61,0.023
79,4669,186.01,128.07,0.591,5.48,0.664,740,3.80,23,1,246.11,108.56,0.012
80,4666,186.34,127.94,0.592,5.59,0.676,723,3.85,22,1,246.83,108.63,0.010
81,4659,186.65,127.89,0.595,5.69,0.490,741,4.83,21,1,247.86,108.59,0.012
82,4682,186.83,127.63,0.596,5.47,0.676,810,5.56,20,1,244.41,109.46,0.018
83,4698,187.25,127.50,0.606,4.87,0.479,774,6.64,19,1,247.48,108.60,0.035
84,4702,187.41,127.41,0.603,4.64,0.429,779,5.22,18,1,248.74,108.46,0.042
85,4666,187.64,127.06,0.601,5.27,0.635,797,6.25,17,1,247.93,108.48,0.007
86,4655,187.81,126.99,0.600,5.20,0.470,718,4.88,16,1,249.44,108.47,0.011
87,4656,188.18,126.73,0.599,5.24,0.457,713,5.78,15,1,249.65,108.39,0.005
88,4659,188.40,126.49,0.604,5.19,0.448,810,5.53,15,1,249.89,108.37,0.009
89,4686,188.37,126.28,0.600,4.33,0.431,764,5.35,14,1,249.81,107.94,0.019
90,4625,188.13,126.03,0.587,5.36,0.464,785,7.58,13,1,250.68,107.93,0.009
91,4619,187.51,125.73,0.575,5.63,0.667,752,10.53,13,1,247.08,108.67,0.020
92,4614,187.44,125.44,0.572,5.48,0.504,851,9.20,12,1,246.36,108.36,0.024
93,4643,187.23,125.37,0.571,4.52,0.477,787,10.46,11,1,250.91,107.59,0.013
94,4639,186.59,124.95,0.555,5.00,0.520,857,11.72,11,1,248.87,107.78,0.026
95,4617,185.98,124.62,0.542,5.44,0.738,837,12.25,11,1,244.84,108.27,0.037
96,4632,185.80,124.73,0.545,4.58,0.723,821,10.70,10,1,252.03,107.19,0.012
97,4624,184.89,124.51,0.529,4.71,0.725,844,12.63,10,1,252.11,107.11,0.009
98,4573,184.33,124.31,0.521,5.38,0.755,806,13.49,10,1,248.25,107.73,0.022
99,4579,183.83,124.23,0.512,4.98,0.757,819,12.23,10,1,252.68,106.87,0.013
100,4550,183.15,124.22,0.506,4.51,0.754,785,14.04,10,1,252.48,106.83,0.021
101,4549,182.44,124.05,0.502,5.03,0.773,848,12.08,9,1,252.19,106.81,0.002
102,4552,181.22,123.72,0.496,4.81,0.767,774,12.39,10,1,253.06,106.75,0.007
103,4554,180.51,123.62,0.492,4.94,0.782,888,13.36,10,1,253.32,106.73,0.003
104,4549,179.32,123.50,0.492,5.08,0.798,825,13.92,11,1,252.71,106.79,0.014
105,4553,178.49,123.38,0.490,4.88,0.785,798,12.48,11,1,252.01,106.88,0.009
