key   arm  entry squash   head_x  head_y   move_mm
  0     0      0      0        0       0         0
  1     0      0      0        0       0         0
  2     0      0      0        0       0         0
  3     0      0      0        0       0         0
  4     0      0      0        0       0         0
  5     0      0      0        0       0         0
  6     4     10      0        0      -3         3
  7     9     22      0        0      -4         1
  8    16     40      0        0      -7         3
  9    26     65      0        1     -12         5
 10    36     90      0        1     -16         4
 11    48    120      0        1     -21         5
 12    62    155      0        2     -27         6
 13    76    190      0        2     -29         2
 14    92    230      0        2     -33         4
 15   108    270      0        3     -37         4
 16   126    315      0        3     -40         3
 17   144    360      0        3     -46         6
 18   162    405      0        4     -50         4
 19   180    450      0        5     -56         6
 20   200    500      0        7     -62         6
 21   218    545      0        9     -66         4
 22   236    590      0       13     -69         5
 23   254    635      0       18     -69         5
 24   273    682      0       22     -65         5
 25   290    725      0       25     -58         7
 26   306    765      0       27     -48        10
 27   322    805      0       26     -39         9
 28   337    842      0       21     -29        11
 29   350    875      0       14     -23         9
 30   362    905      0        4     -20        10
 31   373    932      0       -7     -19        11
 32   382    955      0      -18     -22        11
 33   390    975      0      -30     -28        13
 34   395    987      0      -39     -35        11
 35   398    995      0      -47     -42        10
 36   400   1000      0      -53     -50        10
 37   400   1000      0      -57     -57         8
 38   400   1000      0      -57     -63         6
 39   400   1000      0      -54     -67         5
 40   400   1000      0      -50     -69         4
 41   401   1000      1      -43     -68         7
 42   406   1000     10      -34     -65         9
 43   414   1000     23      -24     -61        10
 44   425   1000     41      -13     -55        12
 45   439   1000     65       -3     -48        12
 46   454   1000     90        6     -42        10
 47   472   1000    120       15     -37        10
 48   493   1000    155       22     -36         7
 49   515   1000    191       27     -36         5
 50   538   1000    230       31     -42         7
 51   563   1000    271       32     -51         9
 52   589   1000    315       31     -64        13
 53   616   1000    360       29     -84        20
 54   643   1000    405       27    -106        22
 55   671   1000    451       23    -131        25
 56   700   1000    500       20    -163        32
 57   727   1000    545       18    -195        32
 58   755   1000    591       16    -227        32
 59   782   1000    636       15    -259        32
 60   809   1000    681       16    -292        33
 61   835   1000    725       17    -323        31
 62   860   1000    766       19    -349        26
 63   883   1000    805       23    -373        24
 64   905   1000    841       27    -391        18
 65   926   1000    876       31    -407        16
 66   944   1000    906       36    -417        11
 67   959   1000    931       41    -422         7
 68   974   1000    956       45    -425         5
 69   985   1000    975       50    -424         5
 70   992   1000    986       53    -419         5
 71   997   1000    995       55    -413         6
 72  1000   1000   1000       56    -408         5
 73  1000   1000   1000       55    -401         7
 74  1000   1000   1000       52    -396         5
 75  1000   1000   1000       47    -393         5
 76  1000   1000   1000       41    -393         6
 77  1000   1000   1000       35    -396         6
 78  1000   1000   1000       27    -400         8
 79  1000   1000   1000       19    -407        10
 80  1000   1000   1000       12    -414         9
 81   659   1000    433      -23    -165       251
 82   380    950      0      -44     -62       105
 83   160    400      0        0     -48        46
 84     0      0      0        0       0        48
 85     0      0      0        0       0         0
 86     0      0      0        0       0         0
